,,,,,
,,流行性感冒,,,
,地区,发病数,死亡数,发病率,死亡率
,全    国,215533,43,15.9045,0.0032
,北京市,10376,5,49.0637,0.0236
,天津市,2313,2,15.7111,0.0136
,河北省,25054,1,34.1679,0.0014
,山西省,8109,1,22.3401,0.0028
,内蒙古,2376,0,9.5131,
,辽宁省,1751,0,3.9886,
,吉林省,1063,0,3.8637,
,黑龙江省,796,2,2.0756,0.0052
,上海市,4872,0,20.1727,
,江苏省,3998,1,5.0356,0.0013
,浙江省,9700,1,17.6428,0.0018
,安徽省,9652,4,16.0072,0.0066
,福建省,8503,1,22.5305,0.0026
,江西省,8036,0,17.7703,
,山东省,6153,2,6.3215,0.0021
,河南省,15639,3,16.6136,0.0032
,湖北省,5065,2,8.7343,0.0034
,湖南省,10617,3,15.8685,0.0045
,广东省,50788,3,47.7151,0.0028
,广    西,5438,3,11.5236,0.0064
,海南省,863,0,9.6394,
,重庆市,2084,0,7.0168,
,四川省,2171,2,2.6779,0.0025
,贵州省,2274,1,6.4930,0.0029
,云南省,1736,4,3.7042,0.0085
,西    藏,133,0,4.2623,
,陕西省,5344,0,14.1977,
,甘肃省,6344,1,24.5684,0.0039
,青海省,707,0,12.2363,
,宁    夏,1469,0,22.4553,
,新疆,2109,1,9.3141,0.0044
,建设兵团,127,0,4.7012,
2018年9月10日 下午9:13,,,,,
