,,,,,
,,流行性感冒,,,
,地区,发病数,死亡数,发病率,死亡率
,全    国,64502,7,4.8326,0.0005
,北京市,830,0,4.7293,
,天津市,523,0,4.2584,
,河北省,13679,0,19.4459,
,山西省,787,0,2.2962,
,内蒙古,338,3,1.3955,0.0124
,辽宁省,1240,0,2.8710,
,吉林省,717,0,2.6172,
,黑龙江省,537,0,1.4036,
,上海市,2429,0,12.6444,
,江苏省,2267,0,2.9346,
,浙江省,3257,0,6.2876,
,安徽省,2664,0,4.3451,
,福建省,2101,0,5.7927,
,江西省,2550,0,5.7534,
,山东省,3075,0,3.2470,
,河南省,3936,1,4.1488,0.0011
,湖北省,1994,0,3.4860,
,湖南省,4390,0,6.8529,
,广东省,5957,1,6.1807,0.0010
,广    西,1233,0,2.5391,
,海南省,206,0,2.3841,
,重庆市,960,1,3.3578,0.0035
,四川省,1530,1,1.8693,0.0012
,贵州省,1256,0,3.3070,
,云南省,723,0,1.5817,
,西    藏,63,0,2.1723,
,陕西省,640,0,1.6967,
,甘肃省,2276,0,8.6361,
,青海省,97,0,1.7405,
,宁    夏,1348,0,21.5610,
,新疆,899,0,4.1647,
,建设兵团,52,0,2.0209,
2018年9月10日 下午9:12,,,,,
