,,,,,
,,流行性感冒,,,
,地区,发病数,死亡数,发病率,死亡率
,全    国,66133,4,4.9319,0.0003
,北京市,391,1,1.9936,0.0051
,天津市,415,0,3.2075,
,河北省,16423,2,22.8559,0.0028
,山西省,1584,0,4.4355,
,内蒙古,518,0,2.0966,
,辽宁省,242,0,0.5532,
,吉林省,266,0,0.9686,
,黑龙江省,267,0,0.6969,
,上海市,1315,0,5.7126,
,江苏省,1006,1,1.2789,0.0013
,浙江省,1995,0,3.6655,
,安徽省,3264,0,5.4857,
,福建省,2278,0,6.1744,
,江西省,3845,0,8.6273,
,山东省,2313,0,2.4146,
,河南省,6262,0,6.6595,
,湖北省,3113,0,5.4387,
,湖南省,5256,0,8.0020,
,广东省,4599,0,4.4093,
,广    西,1241,0,2.6963,
,海南省,101,0,1.1647,
,重庆市,1152,0,3.9936,
,四川省,1467,0,1.8242,
,贵州省,878,0,2.5269,
,云南省,971,0,2.1124,
,西    藏,91,0,3.0340,
,陕西省,1348,0,3.6113,
,甘肃省,2724,0,10.6509,
,青海省,148,0,2.6303,
,宁    夏,444,0,7.0461,
,新疆,216,0,0.9901,
,建设兵团,26,0,1.0104,
2018年9月10日 下午9:12,,,,,
