,,,,,
,,流行性感冒,,,
,地区,发病数,死亡数,发病率,死亡率
,全    国,306682,56,22.5093,0.0041
,北京市,20279,6,94.2508,0.0279
,天津市,2387,1,15.7370,0.0066
,河北省,28814,2,39.0235,0.0027
,山西省,7484,0,20.5156,
,内蒙古,2135,0,8.5236,
,辽宁省,2026,0,4.6140,
,吉林省,878,0,3.1900,
,黑龙江省,1052,0,2.7446,
,上海市,4771,0,19.6687,
,江苏省,5218,0,6.5552,
,浙江省,14394,2,26.1329,0.0036
,安徽省,14451,0,23.7568,
,福建省,10332,1,27.1466,0.0026
,江西省,9462,2,20.8315,0.0044
,山东省,7187,16,7.3416,0.0163
,河南省,22148,3,23.4718,0.0032
,湖北省,11610,0,19.9622,
,湖南省,15874,1,23.5616,0.0015
,广东省,84209,8,78.5239,0.0075
,广    西,8595,0,18.0795,
,海南省,1047,0,11.5885,
,重庆市,3152,2,10.5369,0.0067
,四川省,3991,1,4.9028,0.0012
,贵州省,3419,0,9.7462,
,云南省,2656,0,5.6344,
,西    藏,11,0,0.3464,
,陕西省,5975,0,15.8273,
,甘肃省,8479,8,32.7276,0.0309
,青海省,767,0,13.1466,
,宁    夏,1434,1,21.6767,0.0151
,新疆,2445,2,10.6375,0.0087
,建设兵团,103,0,3.7689,
2018年9月10日 下午9:14,,,,,
