,,,,,
,,流行性感冒,,,
,地区,发病数,死亡数,发病率,死亡率
,全    国,41692,3,3.1554,0.0002
,北京市,335,0,2.0514,
,天津市,597,0,5.3542,
,河北省,11615,0,16.7291,
,山西省,172,0,0.5069,
,内蒙古,48,0,0.1996,
,辽宁省,62,0,0.1443,
,吉林省,149,1,0.5458,0.0037
,黑龙江省,84,0,0.2197,
,上海市,269,0,1.4478,
,江苏省,575,0,0.7541,
,浙江省,894,0,1.7668,
,安徽省,675,0,1.1033,
,福建省,884,0,2.4686,
,江西省,1680,0,3.8461,
,山东省,429,0,0.4580,
,河南省,3594,0,3.8397,
,湖北省,1834,0,3.2181,
,湖南省,3621,0,5.6979,
,广东省,3334,1,3.5284,0.0011
,广    西,955,0,2.0029,
,海南省,63,0,0.7456,
,重庆市,1787,0,6.3459,
,四川省,1707,0,2.1004,
,贵州省,1612,0,4.2850,
,云南省,395,1,0.8751,0.0022
,西    藏,123,0,4.3309,
,陕西省,346,0,0.9232,
,甘肃省,2522,0,9.6369,
,青海省,47,0,0.8515,
,宁    夏,684,0,11.2132,
,新疆,600,0,2.8640,
,建设兵团,5,0,0.1934,
2018年9月10日 下午9:11,,,,,
