,,,,,
,,流行性感冒,,,
,地区,发病数,死亡数,发病率,死亡率
,全    国,45672,5,3.5136,0.0004
,北京市,120,0,0.7811,
,天津市,377,1,3.6197,0.0096
,河北省,3916,0,5.7508,
,山西省,79,0,0.2369,
,内蒙古,54,0,0.2274,
,辽宁省,66,0,0.1565,
,吉林省,30,0,0.1107,
,黑龙江,65,0,0.1706,
,上海市,8,0,0.0450,
,江苏省,1028,0,1.3783,
,浙江省,1998,0,4.0997,
,安徽省,1097,0,1.8036,
,福建省,477,0,1.3574,
,江西省,1266,0,2.9597,
,山东省,96,0,0.1044,
,河南省,1885,1,2.0201,0.0011
,湖北省,1205,1,2.1168,0.0018
,湖南省,664,0,1.0550,
,广东省,5913,2,6.4765,0.0022
,广    西,3234,0,6.9965,
,海南省,351,0,4.2770,
,重庆市,2343,0,8.3989,
,四川省,5157,0,6.2981,
,贵州省,6838,0,18.4677,
,云南省,3753,0,8.5011,
,西    藏,759,0,27.6898,
,陕西省,342,0,0.9230,
,甘肃省,1110,0,4.3049,
,青海省,190,0,3.5323,
,宁    夏,265,0,4.4951,
,新    疆,986,0,4.9613,
,建设兵团,198,0,7.7886,
2018年9月10日 下午9:10,,,,,
