,,,,,
,,流行性感冒,,,
,地区,发病数,死亡数,发病率,死亡率
,全    国,36434,2,2.7718,0.0002
,北京市,221,0,1.3978,
,天津市,831,0,7.7302,
,河北省,8679,0,12.5819,
,山西省,265,0,0.7852,
,内蒙古,293,0,1.2224,
,辽宁省,129,0,0.3020,
,吉林省,167,0,0.6133,
,黑龙江省,52,0,0.1360,
,上海市,404,0,2.2259,
,江苏省,1969,0,2.6079,
,浙江省,936,0,1.8795,
,安徽省,925,0,1.5139,
,福建省,361,0,1.0146,
,江西省,1093,0,2.5189,
,山东省,292,0,0.3137,
,河南省,2710,0,2.8854,
,湖北省,1802,0,3.1653,
,湖南省,1918,1,3.0243,0.0016
,广东省,2800,0,3.0095,
,广    西,931,0,1.9729,
,海南省,100,0,1.1962,
,重庆市,669,0,2.3825,
,四川省,1732,0,2.1202,
,贵州省,1063,0,2.8293,
,云南省,435,0,0.9703,
,西    藏,539,0,19.1823,
,陕西省,348,0,0.9317,
,甘肃省,3689,0,14.1557,
,青海省,103,0,1.8796,
,宁    夏,547,0,9.0563,
,新疆,431,1,2.1024,0.0049
,建设兵团,10,0,0.3877,
2018年9月10日 下午9:11,,,,,
