,,,,,
,,流行性感冒,,,
,地区,发病数,死亡数,发病率,死亡率
,全    国,198381,13,14.9381,0.0010
,北京市,5147,5,30.3658,0.0295
,天津市,707,0,6.0119,
,河北省,15081,0,21.5786,
,山西省,2456,0,7.2011,
,内蒙古,1918,0,7.9462,
,辽宁省,775,0,1.7962,
,吉林省,343,0,1.2546,
,黑龙江省,1407,0,3.6785,
,上海市,1391,0,7.3658,
,江苏省,5255,0,6.8449,
,浙江省,7288,0,14.2344,
,安徽省,3490,2,5.6887,0.0033
,福建省,6041,0,16.6301,
,江西省,6257,0,14.2205,
,山东省,4559,2,4.8411,0.0021
,河南省,8849,0,9.3849,
,湖北省,15444,0,27.0425,
,湖南省,19514,0,30.5633,
,广东省,20155,0,21.1180,
,广    西,11969,0,24.8526,
,海南省,576,0,6.7448,
,重庆市,11640,0,41.0004,
,四川省,9517,1,11.6308,0.0012
,贵州省,10472,1,27.6398,0.0026
,云南省,7664,0,16.8699,
,西    藏,184,0,6.4113,
,陕西省,6287,2,16.7119,0.0053
,甘肃省,7966,0,30.3106,
,青海省,211,0,3.8066,
,宁    夏,2870,0,47.3922,
,新疆,2948,0,13.8352,
,建设兵团,340,0,13.2138,
2018年9月10日 下午9:11,,,,,
