,,,,,
,,流行性感冒,,,
,地区,发病数,死亡数,发病率,死亡率
,全    国,129873,14,9.5915,0.0010
,北京市,2368,2,11.4435,0.0097
,天津市,631,0,4.4652,
,河北省,21082,0,28.9289,
,山西省,5954,0,16.4893,
,内蒙古,1649,0,6.6229,
,辽宁省,1313,0,2.9916,
,吉林省,584,0,2.1233,
,黑龙江省,154,0,0.4017,
,上海市,2120,1,8.9060,0.0042
,江苏省,2450,0,3.0934,
,浙江省,3302,0,6.0288,
,安徽省,5983,0,9.9917,
,福建省,4775,1,12.7401,0.0027
,江西省,5773,1,12.8178,0.0022
,山东省,3877,0,4.0032,
,河南省,13505,3,14.3579,0.0032
,湖北省,3469,0,6.0028,
,湖南省,8136,2,12.2550,0.0030
,广东省,17327,2,16.3555,0.0019
,广    西,3043,0,6.4994,
,海南省,536,0,6.0459,
,重庆市,1966,1,6.6757,0.0034
,四川省,1971,0,2.4405,
,贵州省,2781,0,7.9822,
,云南省,2839,0,6.0936,
,西    藏,7,0,0.2273,
,陕西省,4936,0,13.1518,
,甘肃省,4916,0,19.0724,
,青海省,487,0,8.4966,
,宁    夏,1030,1,15.9150,0.0155
,新疆,909,0,4.0712,
,建设兵团,60,0,2.2653,
2018年9月10日 下午9:13,,,,,
