,,,,,
,,流行性感冒,,,
,地区,发病数,死亡数,发病率,死亡率
,全    国,122140,4,9.0652,0.0003
,北京市,1003,0,4.9688,
,天津市,1004,1,7.4119,0.0074
,河北省,20734,0,28.6361,
,山西省,6209,0,17.2795,
,内蒙古,1759,0,7.0879,
,辽宁省,898,0,2.0488,
,吉林省,886,0,3.2225,
,黑龙江省,454,0,1.1841,
,上海市,4034,0,17.1845,
,江苏省,2809,0,3.5562,
,浙江省,2903,0,5.3139,
,安徽省,5660,0,9.4839,
,福建省,4571,0,12.2876,
,江西省,5222,0,11.6344,
,山东省,4148,0,4.3041,
,河南省,11018,0,11.7363,
,湖北省,5474,0,9.5068,
,湖南省,6593,1,9.9961,0.0015
,广东省,12947,1,12.3246,0.0010
,广    西,2474,0,5.3262,
,海南省,415,0,4.7300,
,重庆市,2560,0,8.7701,
,四川省,2455,0,3.0497,
,贵州省,1834,0,5.2868,
,云南省,2071,1,4.4720,0.0022
,西    藏,27,0,0.8902,
,陕西省,4218,0,11.2702,
,甘肃省,5194,0,20.2559,
,青海省,254,0,4.4705,
,宁    夏,1416,0,22.1440,
,新疆,896,0,4.0567,
,建设兵团,69,0,2.6399,
2018年9月10日 下午9:12,,,,,
