idx	char
697	嫦
698	嫩
699	嬉
700	子
701	孔
702	字
703	存
704	孝
705	孟
706	季
707	孤
708	学
709	孩
710	學
711	宁
712	它
713	宇
714	守
715	安
716	宋
717	完
718	宗
719	官
720	宙
721	定
722	宜
723	宝
724	实
725	宠
726	客
727	宣
728	室
729	宫
730	害
731	家
732	容
733	宽
734	宿
735	寂
736	寄
737	密
738	寇
739	寒
740	寞
741	察
742	寥
743	寫
744	寸
745	对
746	寺
747	寻
748	导
749	封
750	射
751	将
752	尊
753	對
754	小
755	少
756	尔
757	尖
758	尘
759	尚
760	尝
761	尧
762	尬
763	就
764	尴
765	尸
766	尺
767	尼
768	尽
769	尾
770	局
771	屁
772	层
773	居
774	屈
775	屉
776	屋
777	屌
778	屏
779	屑
780	展
781	属
782	山
783	岁
784	岂
785	岛
786	岩
787	岭
788	岸
789	峡
790	峰
791	崇
792	崎
793	崖
794	崩
795	嵩
796	嶇
797	川
798	州
799	巢
800	工
801	左
802	巧
803	巨
804	巫
805	差
806	己
807	已
808	巴
809	巷
810	巾
811	币
812	市
813	布
814	帅
815	师
816	希
817	帖
818	帘
819	帝
820	带
821	師
822	席
823	帮
824	帷
825	常
826	帽
827	幄
828	幅
829	幕
830	干
831	平
832	年
833	并
834	幸
835	幻
836	幼
837	幽
838	幾
839	广
840	庄
841	庆
842	床
843	序
844	库
845	应
846	底
847	庖
848	店
849	庞
850	废
851	度
852	座
853	庭
854	廉
855	廊
856	廓
857	延
858	廷
859	建
860	开
861	异
862	弃
863	弄
864	式
865	弓
866	引
867	弟
868	张
869	弥
870	弦
871	弧
872	弯
873	弱
874	張
875	弹
876	强
877	彈
878	归
879	当
880	录
881	形
882	彩
883	影
884	彷
885	役
886	彻
887	彼
888	彿
889	往
890	征
891	待
892	很
893	徊
894	律
895	後
896	徐
897	徒
898	得
899	徘
900	御
901	復
902	微
903	徵
904	德
905	徽
906	心
907	必
908	忆
909	忍
910	忏
911	志
912	忘
913	忙
914	忠
915	忧
916	快
917	念
918	忽
919	忿
920	怀
921	态
922	怅
923	怎
924	怒
925	怕
926	怜
927	思
928	急
929	性
930	怨
931	怪
932	怯
933	总
934	恋
935	恍
936	恐
937	恒
938	恕
939	恨
940	恩
941	息
942	恰
943	恶
944	恼
945	悄
946	悉
947	悔
948	悟
949	悠
950	悬
951	悯
952	悲
953	悴
954	情
955	惆
956	惊
957	惑
958	惚
959	惜
960	惠
961	惦
962	惧
963	惨
964	惩
965	惫
966	惭
967	惯
968	想
969	惹
970	愁
971	愉
972	意
973	愛
974	感
975	愧
976	愿
977	慈
978	慌
979	慢
980	慨
981	慰
982	慵
983	憂
984	憔
985	憶
986	懂
987	應
988	懊
989	懐
990	懒
991	懟
992	懦
993	懷
994	懸
995	懼
996	戈
997	戎
998	戏
999	成
1000	我
1001	戒
1002	或
1003	战
1004	截
1005	戮
1006	戲
1007	戴
1008	房
1009	所
1010	扇
1011	手
1012	才
1013	扎
1014	扑
1015	打
1016	托
1017	扣
1018	扩
1019	扫
1020	扬
1021	扭
1022	扯
1023	扰
1024	批
1025	找
1026	承
1027	技
1028	抄
1029	把
1030	抑
1031	抓
1032	投
1033	抖
1034	抗
1035	折
1036	抚
1037	抛
1038	抢
1039	护
1040	报
1041	抬
1042	抱
1043	抵
1044	抹
1045	押
1046	抽
1047	担
1048	拆
1049	拉
1050	拋
1051	拌
1052	拍
1053	拒
1054	拓
1055	拖
1056	拙
1057	招
1058	拜
1059	拟
1060	拢
1061	拥
1062	择
1063	括
1064	拯
1065	拳
1066	拼
1067	拽
1068	拿
1069	持
1070	挂
1071	指
1072	按
1073	挑
1074	挖
1075	挟
1076	挡
1077	挣
1078	挤
1079	挥
1080	挽
1081	捂
1082	捆
1083	捏
1084	捞
1085	损
1086	捡
1087	换
1088	据
1089	掂
1090	掉
1091	掌
1092	掏
1093	排
1094	掠
1095	探
1096	接
1097	控
1098	推
1099	掩
1100	掬
1101	掰
1102	揍
1103	描
1104	提
1105	插
1106	握
1107	揭
1108	援
1109	搁
1110	搅
1111	搏
1112	搐
1113	搖
1114	搜
1115	搞
1116	搬
1117	搶
1118	摄
1119	摆
1120	摇
1121	摊
1122	摔
1123	摘
1124	摧
1125	摩
1126	摹
1127	摺
1128	撂
1129	撑
1130	撒
1131	撕
1132	撞
1133	撤
1134	播
1135	撲
1136	擀
1137	擂
1138	擅
1139	操
1140	擎
1141	擦
1142	攘
1143	攬
1144	支
1145	收
1146	改
1147	攻
1148	放
1149	故
1150	效
1151	敌
1152	敏
1153	救
1154	教
1155	敛
1156	敢
1157	散
1158	敦
1159	敬
1160	数
1161	敲
1162	整
1163	敷
1164	文
1165	斑
1166	斗
1167	料
1168	斜
1169	斤
1170	断
1171	斯
1172	新
1173	斷
1174	方
1175	於
1176	旁
1177	旅
1178	旋
1179	族
1180	旗
1181	无
1182	日
1183	旦
1184	旧
1185	早
1186	旳
1187	时
1188	旷
1189	明
1190	昏
1191	易
1192	昔
1193	星
1194	映
1195	春
1196	昧
1197	昨
1198	是
1199	昵
1200	显
1201	時
1202	晃
1203	晒
1204	晓
1205	晕
1206	晚
1207	晤
1208	晨
1209	景
1210	晰
1211	晴
1212	晶
1213	暂
1214	暉
1215	暖
1216	暗
1217	暧
1218	暴
1219	曠
1220	曦
1221	曲
1222	曳
1223	更
1224	書
1225	曹
1226	曾
1227	替
1228	最
1229	會
1230	月
1231	有
1232	朋
1233	服
1234	朗
1235	望
1236	朝
1237	期
1238	朦
1239	朧
1240	木
1241	未
1242	末
1243	本
1244	术
1245	朱
1246	朵
1247	机
1248	朽
1249	杀
1250	杂
1251	权
1252	杆
1253	李
1254	材
1255	村
1256	杖
1257	杜
1258	杞
1259	束
1260	条
1261	来
1262	杨
1263	杯
1264	杰
1265	杵
1266	松
1267	板
1268	极
1269	林
1270	枚
1271	果
1272	枝
1273	枪
1274	枫
1275	枭
1276	枯
1277	架
1278	枸
1279	染
1280	柔
1281	柜
1282	查
1283	柯
1284	柳
1285	柴
1286	标
1287	栈
1288	树
1289	栓
1290	校
1291	样
1292	根
1293	格
1294	栽
1295	桃
1296	框
1297	案
1298	桌
1299	桑
1300	桠
1301	桥
1302	梁
1303	梢
1304	梦
1305	梨
1306	梭
1307	梯
1308	检
1309	棋
1310	棍
1311	棒
1312	棘
1313	森
1314	棵
1315	椅
1316	植
1317	楔
1318	楚
1319	楝
1320	楠
1321	楷
1322	楼
1323	概
1324	榉
1325	榜
1326	榨
1327	榻
1328	樂
1329	樟
1330	模
1331	樣
1332	横
1333	樹
1334	橡
1335	橫
1336	橱
1337	檀
1338	檐
1339	檳
1340	櫛
1341	欠
1342	次
1343	欢
1344	欣
1345	欧
1346	欲
1347	款
1348	歃
1349	歇
1350	歉
1351	歌
1352	止
1353	正
1354	此
1355	步
1356	武
1357	歲
1358	歷
1359	死
1360	殇
1361	残
1362	段
1363	殿
1364	毁
1365	毅
1366	母
1367	每
1368	毒
1369	比
1370	毕
1371	毛
1372	毫
1373	毯
1374	民
1375	气
1376	氛
1377	氣
1378	氧
1379	水
1380	永
1381	汁
1382	求
1383	汇
1384	汉
1385	汐
1386	汗
1387	江
1388	池
1389	污
1390	汤
1391	汰
1392	汹
1393	汽
1394	沈
1395	沉
1396	沒
1397	沙
1398	沟
1399	没
1400	沦
1401	沧
1402	沮
1403	河
1404	沸
1405	油
1406	治
1407	沼
1408	沾
1409	泉
1410	泊
1411	法
1412	泛
1413	泞
1414	泡
1415	波
1416	泣
1417	泥
1418	注
1419	泪
1420	泰
1421	泼
1422	泽
1423	洁
1424	洋
1425	洒
1426	洗
1427	洛
1428	洞
1429	洪
1430	洲
1431	活
1432	流
1433	浅
1434	浆
1435	测
1436	浏
1437	浓
1438	浩
1439	浪
1440	浮
1441	浴
1442	海
1443	涂
1444	消
1445	涌
1446	涟
1447	涡
1448	涤
1449	润
1450	涯
1451	液
1452	淇
1453	淋
1454	淌
1455	淘
1456	淚
1457	淡
1458	淨
1459	深
1460	混
1461	淹
1462	清
1463	渐
1464	渗
1465	渡
1466	温
1467	渲
1468	渴
1469	游
1470	渺
1471	湖
1472	湛
1473	湾
1474	湿
1475	溃
1476	溉
1477	溜
1478	溢
1479	溪
1480	溫
1481	溶
1482	滅
1483	滋
1484	滑
1485	滚
1486	满
1487	滤
1488	滩
1489	滴
1490	滿
1491	漂
1492	漆
1493	演
1494	漠
1495	漪
1496	漫
1497	潇
1498	潦
1499	潮
1500	澈
1501	澡
1502	激
1503	濁
1504	濡
1505	瀟
1506	瀰
1507	灌
1508	火
1509	灭
1510	灯
1511	灰
1512	灵
1513	灾
1514	灿
1515	炉
1516	炊
1517	炫
1518	炭
1519	炮
1520	点
1521	為
1522	烁
1523	烂
1524	烈
1525	烊
1526	烛
1527	烟
1528	烤
1529	烦
1530	烧
1531	烫
1532	热
1533	烽
1534	焚
1535	無
1536	焦
1537	焰
1538	然
1539	煌
1540	煙
1541	煞
1542	煤
1543	照
1544	煮
1545	熄
1546	熙
1547	熟
1548	熬
1549	熱
1550	燃
1551	燈
1552	燒
1553	燕
1554	燥
1555	爪
1556	爬
1557	爱
1558	爵
1559	父
1560	爷
1561	爸
1562	爹
1563	爽
1564	片
1565	版
1566	牌
1567	牙
1568	牛
1569	牡
1570	牢
1571	牧
1572	物
1573	牲
1574	牵
1575	特
1576	牺
1577	犯
1578	状
1579	犹
1580	狂
1581	狈
1582	狐
1583	狗
1584	狞
1585	狠
1586	狩
1587	独
1588	狮
1589	狰
1590	狱
1591	狼
1592	猎
1593	猜
1594	猪
1595	猫
1596	献
1597	猴
1598	獨
1599	玄
1600	率
1601	王
1602	玩
1603	玫
1604	环
1605	现
1606	玻
1607	珀
1608	珊
1609	珍
1610	珠
1611	班
1612	現
1613	球
1614	理
1615	琉
1616	琐
1617	琥
1618	琳
1619	琴
1620	琵
1621	琶
1622	瑄
1623	瑕
